#sep=;
#Timestamp [us];Power measure [W]
0.000000;40.1060
0.059697;40.1060
0.071356;40.1060
0.081827;40.1060
0.091718;40.6230
0.105113;40.6230
0.118665;40.6230
0.130873;40.6230
0.144087;40.6230
0.152795;40.6230
0.166403;40.6230
0.180104;40.6230
0.209202;40.8190
0.227592;40.8190
0.243470;40.8190
0.252053;40.8190
0.264271;40.8190
0.275982;40.8190
0.292258;40.6100
0.305057;40.6100
0.313171;40.6100
0.325104;40.6100
0.343932;40.6100
0.353724;40.6100
0.366498;40.6100
0.380863;40.6100
0.388927;40.6100
0.405985;41.6070
0.422393;41.6070
0.427552;41.6070
0.444806;41.6070
0.449625;41.6070
0.460499;41.6070
0.465013;41.6070
0.469931;41.6070
0.481525;41.6070
0.486970;41.6070
0.493235;41.5090
0.503711;41.5090
0.508183;41.5090
0.519261;41.5090
0.524211;41.5090
0.528466;41.5090
0.539078;41.5090
0.543406;41.5090
0.548433;41.5090
0.560080;41.5090
0.566662;41.5090
0.572259;41.5090
0.581004;41.5090
0.585221;41.5090
0.589652;41.5090
0.599005;41.7050
0.603439;41.7050
0.607903;41.7050
0.619104;41.7050
0.623495;41.7050
0.627797;41.7050
0.638993;41.7050
0.643361;41.7050
0.647742;41.7050
0.659130;41.7050
0.663371;41.7050
0.667633;41.7050
0.679588;41.7050
0.683827;41.7050
0.688416;41.7050
0.699259;41.5090
0.703474;41.5090
0.707705;41.5090
0.719120;41.5090
0.723371;41.5090
0.728005;41.5090
0.739107;41.5090
0.743311;41.5090
0.747521;41.5090
0.759276;41.5090
0.763488;41.5090
0.767682;41.5090
0.779726;41.5090
0.783934;41.5090
0.788152;41.5090
0.799574;41.4100
0.803811;41.4100
0.808065;41.4100
0.819805;41.4100
0.824024;41.4100
0.828429;41.4100
0.840091;41.4100
0.844303;41.4100
0.848504;41.4100
0.860388;41.4100
0.864613;41.4100
0.868843;41.4100
0.880578;41.4100
0.884832;41.4100
0.889033;41.4100
0.903913;41.3110
0.908169;41.3110
0.921538;41.3110
0.925751;41.3110
0.929952;41.3110
0.941881;41.3110
0.946084;41.3110
0.950287;41.3110
0.962242;41.3110
0.966451;41.3110
0.970697;41.3110
0.979830;41.3110
0.984771;41.3110
0.988961;41.3110
1.000390;41.2130
1.005380;41.2130
1.009600;41.2130
1.019710;41.2130
1.024821;41.2130
1.029043;41.2130
1.039841;41.2130
1.044927;41.2130
1.049124;41.2130
1.059970;41.2130
1.064900;41.2130
1.069098;41.2130
1.079651;41.2130
1.084733;41.2130
1.088990;41.2130
1.101655;41.1150
1.106595;41.1150
1.119967;41.1150
1.125084;41.1150
1.129304;41.1150
1.139981;41.1150
1.145482;41.1150
1.149675;41.1150
1.160047;41.1150
1.165585;41.1150
1.169776;41.1150
1.179642;41.1150
1.185644;41.1150
1.192935;41.1150
1.202408;41.1150
1.207517;41.1150
1.219820;41.1150
1.226045;41.1150
1.230223;41.1150
1.240137;41.1150
1.246932;41.1150
1.259895;41.1150
1.266812;41.1150
1.279780;41.1150
1.284037;41.1150
1.289154;41.1150
1.300234;41.1150
1.308361;41.3110
1.319861;41.3110
1.324404;41.3110
1.329472;41.3110
1.339854;41.3110
1.344644;41.3110
1.349662;41.3110
1.360009;41.3110
1.364294;41.3110
1.369433;41.3110
1.379922;41.3110
1.384179;41.3110
1.389291;41.3110
1.400054;41.3110
1.405183;41.3120
1.410156;41.3120
1.420156;41.3120
1.424437;41.3120
1.429550;41.3120
1.439981;41.3120
1.445163;41.3120
1.450809;41.3120
1.460182;41.3120
1.464426;41.3120
1.470097;41.3120
1.480038;41.3120
1.484211;41.3120
1.490162;41.3120
1.501039;41.3120
1.508171;41.4100
1.520275;41.4100
1.524448;41.4100
1.531076;41.4100
1.540186;41.4100
1.544360;41.4100
1.552169;41.4100
1.560918;41.4100
1.565091;41.4100
1.571775;41.4100
1.580571;41.4100
1.584741;41.4100
1.589256;41.4100
1.600584;41.4100
1.604952;41.4100
1.609553;41.5090
1.620391;41.5090
1.624579;41.5090
1.628838;41.5090
1.640335;41.5090
1.644499;41.5090
1.649381;41.5090
1.660498;41.5090
