#sep=;
#Timestamp [us];Power measure [W]
2.371626;36.0300
2.380324;36.0300
2.386616;36.1230
2.391220;36.1230
2.400331;36.1230
2.406647;36.0240
2.410982;36.0240
2.420309;36.0240
2.426621;36.0240
2.431270;36.0240
2.440410;36.0240
2.446711;36.0240
2.451351;36.0240
2.460300;36.0240
2.467172;36.1290
2.473929;36.1290
2.489854;36.0300
2.500208;36.0300
2.506448;36.0240
2.510613;36.0240
2.520193;36.0240
2.526818;36.0240
2.530971;36.0240
2.540285;36.0240
2.546513;36.0240
2.550719;36.0240
2.560317;36.0240
2.567031;36.0300
2.571446;36.0300
2.580962;36.0300
2.587206;36.1230
2.591400;36.1230
2.600329;36.1230
2.606596;36.0240
2.610786;36.0240
2.620172;36.0240
2.626537;36.0240
2.630699;36.0240
2.640266;36.0240
2.646548;36.0240
2.650746;36.0240
2.660192;36.0240
2.666811;36.1290
2.671176;36.1290
2.680590;36.1290
2.690566;36.0300
2.700078;36.0300
2.706885;36.0300
2.711043;36.0300
2.720071;36.0300
2.726677;36.1290
2.730873;36.1290
2.740142;36.1290
2.746654;36.0300
2.750820;36.0300
2.760138;36.0300
2.766834;36.1230
2.770990;36.1230
2.780028;36.1230
2.786878;36.1290
2.791051;36.1290
2.800040;36.1290
2.806835;36.0300
2.811001;36.0300
2.820026;36.0300
2.826840;36.0240
2.831009;36.0240
2.840040;36.0240
2.846795;36.0300
2.850985;36.0300
2.860025;36.0300
2.866808;36.0240
2.871636;36.0240
2.879967;36.0240
2.886945;36.0300
2.891097;36.0300
2.900072;36.0300
2.907041;36.0300
2.911198;36.0300
2.920114;36.0300
2.926965;36.0300
2.931602;36.0300
2.939988;36.0300
2.946972;36.0240
2.951146;36.0240
2.959965;36.0240
2.967060;36.1290
2.971198;36.1290
2.979919;36.1290
2.987135;36.0240
2.991262;36.0240
3.000844;36.0240
3.007439;36.0240
3.011601;36.0240
3.019846;36.0240
3.027290;36.0300
3.031759;36.0300
3.039826;36.0300
3.047326;36.0300
3.051518;36.0300
3.059879;36.0300
3.067323;36.0300
3.071520;36.0300
3.079833;36.0300
3.088247;36.1290
3.092401;36.1290
3.099875;36.1290
3.107813;36.0300
3.111955;36.0300
3.119779;36.0300
3.128189;36.0300
3.132483;36.0300
3.139818;36.0300
3.148502;36.0300
3.152705;36.0300
3.159833;36.0300
3.168836;36.0300
3.172979;36.0300
3.179748;36.0300
3.187591;36.1290
3.191737;36.1290
3.199740;36.1290
3.207711;36.0300
3.211839;36.0300
3.219709;36.0300
3.227523;36.1230
3.231676;36.1230
3.239687;36.1230
3.247525;36.0300
3.251699;36.0300
3.259942;36.0300
3.267538;36.0300
3.271662;36.0300
3.279705;36.0300
3.288124;36.0300
3.292257;36.0300
3.299651;36.0300
3.307774;36.0300
3.311924;36.0300
3.319665;36.0300
3.327711;36.0300
3.331848;36.0300
3.339674;36.0300
3.347742;36.1290
3.351915;36.1290
3.359695;36.1290
3.367793;36.0300
3.371927;36.0300
3.379622;36.0300
3.388261;36.0300
3.392388;36.0300
3.399593;36.0300
3.407927;36.0300
3.412073;36.0300
3.419582;36.0300
3.427808;36.0300
3.431965;36.0300
3.439564;36.0300
3.447810;36.0300
3.451996;36.0300
3.459751;36.0300
3.467840;36.1230
3.472048;36.1230
3.479614;36.1230
3.488513;36.0240
