#sep=;
#Timestamp [us];Power measure [W]
0.000000;32.2550
0.045631;32.2550
0.057014;32.2550
0.067009;32.2550
0.079039;32.2550
0.089084;32.2550
0.105174;32.2550
0.117302;32.2550
0.126488;32.2550
0.137617;32.2550
0.155098;32.2550
0.176052;32.2550
0.197892;32.2550
0.215209;32.2550
0.227390;32.2550
0.238418;32.2550
0.249236;32.2550
0.262543;32.2550
0.279321;32.2550
0.289052;32.2550
0.300361;32.2550
0.314991;32.2550
0.328092;32.2550
0.340772;32.2550
0.354980;32.2550
0.365786;32.2550
0.376280;32.2550
0.395099;32.2550
0.404487;32.2550
0.415815;32.2550
0.427087;32.2550
0.434991;32.2550
0.442732;32.2550
0.447368;32.2550
0.454952;32.2550
0.464585;32.2550
0.469070;32.2550
0.477889;32.2550
0.485938;32.2550
0.495036;32.2550
0.501339;32.2550
0.506296;32.2550
0.514788;32.2550
0.521157;32.2550
0.525681;32.2550
0.534792;32.2550
0.544082;32.2550
0.548758;32.2550
0.556767;32.2550
0.563083;32.2550
0.567303;32.2550
0.574790;32.2550
0.581078;32.2550
0.585643;32.2550
0.594839;32.2550
0.601229;32.2550
0.605594;32.2550
0.614735;32.2550
0.621084;32.2550
0.625542;32.2550
0.634694;32.2550
0.641214;32.2550
0.645458;32.2550
0.654668;32.2550
0.661658;32.2550
0.665895;32.2550
0.674631;32.2550
0.681320;32.2550
0.685565;32.2550
0.694664;32.2550
0.701187;32.2550
0.705428;32.2550
0.714628;32.2550
0.721165;32.2550
0.725373;32.2550
0.734626;32.2550
0.741338;32.2550
0.745549;32.2550
0.754591;32.2550
0.761787;32.2550
0.765995;32.2550
0.774581;32.2550
0.781660;32.2550
0.785896;32.2550
0.794683;32.2550
0.801865;32.2550
0.806084;32.2550
0.814564;32.2550
0.822156;32.2550
0.826367;32.2550
0.834715;32.2550
0.842459;32.2550
0.846678;32.2550
0.854558;32.2550
0.862651;32.2550
0.866893;32.2550
0.874517;32.2550
0.886004;32.2550
0.894528;32.2550
0.903603;32.2550
0.907814;32.2550
0.914492;32.2550
0.923942;32.2550
0.928143;32.2550
0.934797;32.2550
0.944303;32.2550
0.948516;32.2550
0.955218;32.2550
0.961892;32.2550
0.966833;32.2550
0.974487;32.2550
0.982480;32.2550
0.987443;32.2550
0.994583;32.2550
1.001774;32.2550
1.006886;32.2550
1.014411;32.2550
1.021899;32.2550
1.026988;32.2550
1.034604;32.2550
1.042029;32.2550
1.046960;32.2550
1.054437;32.2550
1.061712;32.2550
1.066797;32.2550
1.074362;32.2550
1.083741;32.2550
1.094429;32.2550
1.102029;32.2550
1.107149;32.2550
1.114349;32.2550
1.122042;32.2550
1.127541;32.2550
1.134325;32.2550
1.142104;32.2550
1.147642;32.2550
1.154336;32.2550
1.161699;32.2550
1.168394;32.2550
1.177415;32.2550
1.184478;32.2550
1.194410;32.2550
1.201860;32.2550
1.208083;32.2550
1.214712;32.2550
1.222182;32.2550
1.234232;32.2550
1.241934;32.2550
1.254259;32.2550
1.261817;32.2550
1.266080;32.2550
1.274198;32.2550
1.282300;32.2550
1.294262;32.2550
1.301900;32.2550
1.306453;32.2550
1.314196;32.2550
1.321893;32.2550
1.326680;32.2550
1.334181;32.2550
1.342042;32.2550
1.346331;32.2550
1.354152;32.2550
1.361956;32.2550
1.366222;32.2550
1.374196;32.2550
1.382222;32.2550
1.387222;32.2550
1.394656;32.2550
1.402196;32.2550
1.406472;32.2550
1.414124;32.2550
1.422014;32.2550
1.427202;32.2550
1.435290;32.2550
1.442222;32.2550
1.446464;32.2550
1.454590;32.2550
1.462075;32.2550
1.466249;32.2550
1.474658;32.2550
1.483101;32.2550
1.494106;32.2550
1.502320;32.2550
1.506485;32.2550
1.515556;32.2550
1.522225;32.2550
1.526396;32.2550
1.536679;32.2550
1.542956;32.2550
1.547134;32.2550
1.556249;32.2550
1.562608;32.2550
1.566778;32.2550
1.574057;32.2550
1.582647;32.2550
1.586986;32.2550
1.594125;32.2550
1.602431;32.2550
1.606614;32.2550
1.614006;32.2550
1.622379;32.2550
1.626535;32.2550
1.633957;32.2550
1.642537;32.2550
1.646699;32.2550
1.654152;32.2550
1.662386;32.2550
1.666563;32.2550
1.673949;32.2550
1.682926;32.2550
1.687217;32.2550
1.695055;32.2550
1.702510;32.2550
1.706661;32.2550
1.713909;32.2550
1.722432;32.2550
1.726616;32.2550
1.733875;32.2550
1.742690;32.2550
1.746861;32.2550
1.753860;32.2550
1.762509;32.2550
1.766689;32.2550
1.773931;32.2550
1.782722;32.2550
1.786972;32.2550
1.794016;32.2550
1.802720;32.2550
1.806894;32.2550
1.813858;32.2550
1.822656;32.2550
1.826813;32.2550
1.833798;32.2550
1.842967;32.2550
1.847131;32.2550
1.853978;32.2550
1.862769;32.2550
1.866947;32.2550
1.873836;32.2550
1.882773;32.2550
1.887459;32.2550
1.894243;32.2550
1.902968;32.2550
1.907130;32.2550
1.913774;32.2550
1.922820;32.2550
1.926993;32.2550
1.933755;32.2550
1.943054;32.2550
1.947236;32.2550
1.954024;32.2550
1.962902;32.2550
1.967169;32.2550
1.973799;32.2550
1.982909;32.2550
1.987359;32.2550
1.994075;32.2550
2.003001;32.2550
2.007178;32.2550
2.013791;32.2550
2.020411;32.2550
2.026674;32.2550
2.033675;32.2550
2.041164;32.2550
2.047398;32.2550
2.054001;32.2550
2.063029;32.2550
2.067202;32.2550
2.073818;32.2550
2.078119;32.2550
2.084350;32.2550
2.093682;32.2550
2.100182;32.2550
2.114643;32.2550
2.123172;32.2550
2.127426;32.2550
2.134116;32.2550
2.143392;32.2550
2.147675;32.2550
2.154352;32.2550
2.163260;32.2550
2.167506;32.2550
2.174219;32.2550
2.183596;32.2550
2.193697;32.2550
2.200163;32.2550
2.206450;32.2550
2.213553;32.2550
2.217791;32.2550
2.224062;32.2550
2.233554;32.2550
2.237822;32.2550
2.245015;32.2550
2.253519;32.2550
2.257753;32.2550
2.264803;32.2550
2.273525;32.2550
2.277755;32.2550
2.285125;32.2550
2.293564;32.2550
2.298043;32.2550
2.306571;32.2550
2.313501;32.2550
2.317755;32.2550
2.325859;32.2550
2.333468;32.2550
2.337709;32.2550
2.346201;32.2550
2.353431;32.2550
2.357653;32.2550
2.366658;32.2550
2.373485;32.2550
2.377751;32.2550
2.386999;32.2550
2.393711;32.2550
2.397962;32.2550
2.404714;32.2550
2.413417;32.2550
2.417646;32.2550
2.424312;32.2550
2.433412;32.2550
2.437659;32.2550
2.444075;32.2550
2.453401;32.2550
2.457634;32.2550
2.464364;32.2550
2.473504;32.2550
2.477744;32.2550
2.484442;32.2550
2.493394;32.2550
2.498152;32.2550
2.507019;32.2550
2.520892;32.2550
2.533302;32.2550
2.537461;32.2550
2.543701;32.2550
2.553285;32.2550
2.557854;32.2550
2.564061;32.2550
2.573379;32.2550
2.577541;32.2550
2.583805;32.2550
2.593411;32.2550
2.597556;32.2550
2.604539;32.2550
2.614053;32.2550
2.618223;32.2550
2.624489;32.2550
2.633403;32.2550
2.637601;32.2550
2.643874;32.2550
2.653265;32.2550
2.657439;32.2550
2.663791;32.2550
2.673358;32.2550
2.677500;32.2550
2.683839;32.2550
2.693284;32.2550
2.697434;32.2550
2.704267;32.2550
2.713680;32.2550
2.721599;32.2550
2.733166;32.2550
2.737292;32.2550
2.744136;32.2550
2.753163;32.2550
2.757418;32.2550
2.763964;32.2550
2.773233;32.2550
2.777401;32.2550
2.783903;32.2550
2.793232;32.2550
2.797362;32.2550
2.804076;32.2550
2.813122;32.2550
2.817251;32.2550
2.824143;32.2550
2.833130;32.2550
2.837279;32.2550
2.844088;32.2550
2.853121;32.2550
2.857269;32.2550
2.864102;32.2550
2.873131;32.2550
2.877279;32.2550
2.884076;32.2550
2.893115;32.2550
2.897257;32.2550
2.904529;32.2550
2.913053;32.2550
2.917180;32.2550
2.924184;32.2550
2.933022;32.2550
2.937310;32.2550
2.944290;32.2550
2.953206;32.2550
2.957351;32.2550
2.964695;32.2550
2.973076;32.2550
2.977216;32.2550
2.984237;32.2550
2.993058;32.2550
2.997196;32.2550
3.004292;32.2550
3.013008;32.2550
3.017172;32.2550
3.024356;32.2550
3.032972;32.2550
3.038074;32.2550
3.044696;32.2550
3.052935;32.2550
3.057399;32.2550
3.064843;32.2550
3.072920;32.2550
3.077798;32.2550
3.084611;32.2550
3.092970;32.2550
3.098016;32.2550
3.104615;32.2550
3.112924;32.2550
3.119291;32.2550
3.125493;32.2550
3.132898;32.2550
3.138820;32.2550
3.145048;32.2550
3.152865;32.2550
3.159195;32.2550
3.165574;32.2550
3.172910;32.2550
3.179522;32.2550
3.185792;32.2550
3.192925;32.2550
3.199864;32.2550
3.206069;32.2550
3.212835;32.2550
3.217439;32.2550
3.224827;32.2550
3.232829;32.2550
3.237320;32.2550
3.244932;32.2550
3.252799;32.2550
3.257376;32.2550
3.264770;32.2550
3.272774;32.2550
3.277319;32.2550
3.284790;32.2550
3.293034;32.2550
3.297541;32.2550
3.304755;32.2550
3.312796;32.2550
3.317847;32.2550
3.325352;32.2550
3.332742;32.2550
3.337274;32.2550
3.345013;32.2550
3.352757;32.2550
3.357131;32.2550
3.364934;32.2550
3.372766;32.2730
3.376919;32.2730
3.385002;32.2730
3.392786;32.2550
3.396932;32.2550
3.405014;32.2550
3.412710;32.2550
3.419229;32.2550
3.425478;32.2550
3.432687;32.2550
3.436838;32.2550
3.445166;32.2550
3.452676;32.2550
3.456838;32.2550
3.465051;32.2550
3.472654;32.2550
3.476816;32.2550
3.485083;32.2550
3.492843;32.2550
3.497007;32.2550
3.505140;32.2550
3.512704;32.2550
3.517075;32.2550
3.525726;32.2550
3.532615;32.2550
3.536766;32.2550
3.545262;32.2550
3.552594;32.2550
3.558122;32.2550
3.565153;32.2550
3.572650;32.2550
3.577183;32.2550
3.585524;32.2550
3.592645;32.2550
3.596797;32.2550
3.605693;32.2550
3.612562;32.2550
3.616715;32.2550
3.626185;32.2550
3.632783;32.2550
3.636936;32.2550
3.646332;32.2550
3.652946;32.2550
3.657093;32.2550
3.666508;32.2550
3.673133;32.2550
3.677394;32.2550
3.692637;32.2550
3.696818;32.2550
3.712555;32.2550
3.717157;32.2550
3.732449;32.2550
3.736625;32.2550
3.752456;32.2550
3.756604;32.2550
3.772513;32.2550
3.776672;32.2550
3.792534;32.2550
3.796689;32.2550
3.812429;32.2550
3.816569;32.2550
3.825902;32.2550
3.833339;32.2550
3.837514;32.2550
3.846158;32.2550
3.853618;32.2550
3.857770;32.2550
3.865732;32.2550
3.873297;32.2550
3.877502;32.2550
3.886341;32.2550
3.893678;32.2550
3.897815;32.2550
3.905811;32.2550
3.913339;32.2550
3.917711;32.2550
3.932364;32.2550
3.936522;32.2550
